Model,Accuracy (%),Parameters,Parameter Reduction (%),Training Time (s),Training Speedup,Inference Time (s),Inference Speedup
Standard CNN,96.03,1200074,0.0,135.96404767036438,1.0,5.734939098358154,1.0
Basic NdLinear CNN,95.76,21298,98.22527610797334,577.2785496711731,0.23552589603028146,5.688318252563477,1.0081958926566157
Structure-Preserving CNN,93.75,21236,98.23044245604854,550.591944694519,0.24694158528926596,5.561846494674683,1.0311214277217473
Optimized NdLinear CNN,97.63,26424,97.79813578162681,857.6109104156494,0.1585381505984667,6.127196311950684,0.935980961989506
